scenario,mode,seed,steps,topology,energy_family,size,coupling_count,initial_curvature_min,initial_curvature_max,initial_curvature_ratio,noise_magnitude,noise_cost_samples,accepted_steps,rejected_steps,acceptance_rate,delta_f90_steps,energy_initial,energy_final,energy_drop,noise_curvature_cost,noise_curvature_cost_draws,wall_time_sec
quadratic_chain,isotropic,10,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,39,41,0.4875,6,3.215270062151102,0.1117101351632477,3.103559926987854,0.001216972634104451,0.0013857450031739614;0.00090772793041320752;0.0008912863187181745;0.0015400298499970697;0.0014539498634390028;0.001326792593569546;0.00083582967386043063;0.0010865122313688553;0.00097263627135643572;0.0016260007364609034;0.00081454168383004067;0.00083218289814680334;0.00085916678259623539;0.0013892051037105821;0.0017390316638471398;0.00071449278687038965;0.0011862127540448065;0.00097757784550964394;0.0013286272860520048;0.001109156653376623;0.0008404456154616029;0.002482398798662978;0.0010668932630770581;0.0011240266209077531;0.0013850191605611706;0.0019082882831306465;0.0014036520327465804;0.00084306583664896294;0.0016028839559570662;0.0012375009511772137;0.00084129686733522876;0.0012309469753343115,0.0510134999640286
quadratic_chain,isotropic,11,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,30,50,0.375,7,1.4947890615702113,0.1416454398129387,1.3531436217572725,0.0010938853684860656,0.0022719431508539966;0.00074816290143387874;0.00097210684108760032;0.0010422667556153789;0.0011222878199054064;0.0012908581070452357;0.0010452107307564111;0.0014356229248463524;0.0014330305408676467;0.00074941882638979856;0.0011104568011926967;0.0013651117221726095;0.0017075780385271883;0.00058764129106275514;0.00083475221410785538;0.0011284368662794939;0.00064289968975306591;0.00072831759979988958;0.0007359159255636771;0.0011618056302995432;0.0011564084876077743;0.00091480676234838884;0.00066838105062143847;0.001323726947041005;0.0010350442131087548;0.0010071898085072363;0.0015348570642708718;0.0014562524929713958;0.00089328927702294334;0.00086735579255395594;0.0010100590824997898;0.0010231364354400603,0.04663660004734993
quadratic_chain,isotropic,12,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,28,52,0.35,7,2.94112770744047,0.15605016010157063,2.7850775473388993,0.0011378079052529791,0.0009403455975376309;0.0013687426744449992;0.0018507034807011141;0.00069368650074885612;0.00081298480139276096;0.0011698953740956002;0.00076881444473410386;0.0012769316207137675;0.00082311417656143345;0.0017331687608481421;0.0007288127396686897;0.0011502904742507188;0.00086913994162624204;0.0013837699128749189;0.0012954910013335235;0.00088791931358867416;0.0011322912954676682;0.00099390315503009572;0.0014888290489030393;0.0012906993324722374;0.00099715701412508937;0.001332177149864618;0.00091127753549373317;0.0013168190939377453;0.0013153015683221596;0.0012602343766711811;0.001413289139584288;0.0011723215593811846;0.00087616648336550501;0.0012374183316429029;0.0010933453082972479;0.0008248117604154634,0.049345900071784854
quadratic_chain,isotropic,13,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,30,50,0.375,6,2.678379699765995,0.18270576370556904,2.495673936060426,0.0011880643270638707,0.00081623638683863894;0.0010835362009735464;0.001282536107362998;0.00099064666522643207;0.00088907469330266138;0.00083562892883968034;0.0012424831210685518;0.0011890762424337606;0.0010784229153787393;0.0012320643786321358;0.00090011238767952184;0.00090853340226816506;0.00090714549852857589;0.001314749767179107;0.0015266882402032817;0.0018276466064751878;0.00090317240027833082;0.0015560496103329262;0.00092374187306668454;0.0014913984547806382;0.0011290237016880497;0.0010715021806927301;0.0012127953979026154;0.0017722463771893823;0.00087720707457109568;0.0015152372211824196;0.0013161496125775997;0.0016956994093420251;0.0015988902380193043;0.00094660375023972946;0.00074222357643021787;0.0012415360453591256,0.057988000102341175
quadratic_chain,isotropic,14,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,31,49,0.3875,7,1.0490741451642949,0.0569234913074432,0.9921506538568516,0.0013063013364050615,0.00094347933948822898;0.0014303083645960759;0.0017845114473279897;0.001810335000573593;0.002025029319019188;0.00095225865258816091;0.00095645750114374561;0.0011010807653992604;0.0011356100052312104;0.0012063759790232396;0.0011776784336644537;0.00094223840629002026;0.0019541380575774188;0.001451142398031726;0.0012357382214937577;0.0011379528905780783;0.0012826439829404809;0.0011007438234384209;0.00098517643257947586;0.0012948893635009143;0.0023367934778726492;0.0019319464976259566;0.0013701207299775175;0.00070460921787041022;0.0016798153863209115;0.0012571312218649434;0.00089206406873882456;0.0014041111746069443;0.001304980258290261;0.0012313832566461871;0.00082806330952454117;0.00095283578113738705,0.05506350006908178
quadratic_chain,isotropic,15,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,28,52,0.35,6,1.6081162691312216,0.07689478617728397,1.5312214829539377,0.0011845953708040178,0.0010893706386938325;0.0010809140839966194;0.0010819983633924503;0.00076736558593268138;0.0022438550242861784;0.00097770046236845816;0.00078635887513696606;0.00144732820265315;0.001787426485022068;0.0012406998005319628;0.00099348819213119187;0.0016197691723643262;0.0013588116437923147;0.0010758234166366207;0.0013705553965424153;0.00073185409266033686;0.0015191292447919804;0.0011680268223092159;0.0010451672069748212;0.0015892298786256683;0.0017126636665586508;0.00070473841217256453;0.0011064298525466558;0.0015286579087409654;0.00082817352429905098;0.0012283677612099431;0.00065915507006458242;0.00117261939134823;0.0009827712531955701;0.00070048567522376171;0.0011914850482955639;0.0011166317132297748,0.057632300071418285
quadratic_chain,isotropic,16,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,40,40,0.5,6,2.6908749213442977,0.1888224932676834,2.502052428076614,0.0013202032039476737,0.0016017092366351923;0.00053907836215009704;0.00088046689040807854;0.00079206718895751818;0.0011508364672901071;0.0020399512345071393;0.0008941254524807245;0.0019837710223186145;0.0014769341898326622;0.0015462694805539019;0.0007866681256268631;0.0013441098673128908;0.0017789534367783151;0.0019526052601681442;0.0010746360097584247;0.0014134874106247466;0.00067304043867965453;0.0016790630088237188;0.0015816873640003126;0.00086986415259565218;0.0012829262751247802;0.0011462732883997192;0.001344158271100112;0.00075761500280237682;0.0014801552414637658;0.0020266088220245782;0.00084876815308951878;0.0012897946697430392;0.0011473562443957011;0.0012445657548179993;0.0013170474520998816;0.0023019087517613256,0.05942569999024272
quadratic_chain,isotropic,17,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,29,51,0.3625,7,1.8240133078944716,0.0746637035618158,1.7493496043326557,0.00119032421023326,0.00091972007220312657;0.0006744538426550976;0.0012574108280859961;0.0016978279910311285;0.0012969084177308497;0.0014898443744031488;0.0010864623819803007;0.0013120623461103436;0.001411819961371877;0.00098092436514108077;0.0012237634468309393;0.0012102395107373145;0.0010252309594384337;0.00088617216272913178;0.0011488344782417464;0.0013347013237722341;0.0011156131245610395;0.0011957060730845453;0.001057589378022172;0.0011722767992251846;0.0014086594621194916;0.0012599148904930168;0.0010378837497719349;0.00097625534047025104;0.0011323061746191026;0.0011558804064960807;0.0017554295517210345;0.0011659499837450679;0.00093384526750436641;0.00094123510087269519;0.001468947421182249;0.0013565055411133378,0.06817029998637736
quadratic_chain,isotropic,18,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,34,46,0.425,6,3.388519451819364,0.0710014733328565,3.317517978486508,0.0014123848200284623,0.0008607828254895099;0.0016371238608828696;0.0010627466469917092;0.00079131193876720877;0.0011362670827225123;0.0017170248620512907;0.00092993085173900759;0.0013637809732704297;0.0011967338487897004;0.0011762179421882448;0.0006370949702380281;0.0011759711237216428;0.0018522116396224235;0.0019129880496481981;0.0012742266252259043;0.0012430856203911032;0.00088416052658351328;0.0019855636788610512;0.0012231960200816837;0.0016129920794002257;0.0014424907250374318;0.0013201236052645807;0.001821930682927639;0.0021155318942556751;0.0014222051654481172;0.0020961350902643444;0.0014003294368409248;0.0013483215812321815;0.0021149141712154219;0.0013859187941243473;0.0017521152685529176;0.0013028866590809572,0.054201000137254596
quadratic_chain,isotropic,19,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,32,48,0.4,7,1.76997034114809,0.08897978303381629,1.6809905581142737,0.0012703187413649238,0.0020004292221881752;0.00098464924043572643;0.0011268783042420246;0.00091487160611564134;0.0010092101963515103;0.0010375684566872848;0.0013496969430602382;0.0013703773628869678;0.00099927345823190702;0.0019471256121496314;0.00081761720348929223;0.0016053279857916563;0.0016964952082259418;0.0015043392249230853;0.0014356084394252684;0.0012688047116172527;0.00087086076681400031;0.0010791139562957219;0.00081514058006122421;0.0011945481353261408;0.00090774725129443945;0.0009816231171564339;0.0013637060803079171;0.0012392557491656729;0.0013042600950060356;0.0014427971708627608;0.001945951071727299;0.0010367748297186083;0.0010974001567563394;0.0012360433978325304;0.0014120565893743129;0.0016546476001565182,0.0686667999252677
