scenario,component_type,component_index,component_name,eta_i,eta_j,observed_diag_i,observed_diag_j,observed_offdiag,reported_diag_i,reported_diag_j,reported_offdiag,status,maximum_underestimate_ratio
quadratic_chain,coupling,0,QuadraticCoupling,0.34160984821574786,0.19066309106821128,0.3,0.3,0.3,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,1,QuadraticCoupling,0.19066309106821128,0.4296857260761766,0.35999999999958365,0.35999999999958365,0.35999999999958365,0.36,0.36,0.36,covered,0.9999999999988435
quadratic_chain,coupling,2,QuadraticCoupling,0.4296857260761766,0.483109575145866,0.4199999999998612,0.4199999999998612,0.4199999999998612,0.42,0.42,0.42,covered,0.9999999999996696
quadratic_chain,coupling,3,QuadraticCoupling,0.483109575145866,0.14404791436698228,0.3,0.3,0.3,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,4,QuadraticCoupling,0.14404791436698228,0.24600688799924483,0.36000000000027754,0.36000000000027754,0.36000000000027754,0.36,0.36,0.36,covered,1.000000000000771
quadratic_chain,coupling,5,QuadraticCoupling,0.24600688799924483,0.5944708330443005,0.4200000000005551,0.420000000000111,0.42000000000033305,0.42,0.42,0.42,covered,1.0000000000013216
quadratic_chain,coupling,6,QuadraticCoupling,0.5944708330443005,0.7266779532527218,0.2999999999999306,0.2999999999999306,0.2999999999999306,0.3,0.3,0.3,covered,0.9999999999997687
quadratic_chain,coupling,7,QuadraticCoupling,0.7266779532527218,0.630784841995076,0.3600000000001943,0.3600000000001943,0.3600000000001943,0.36,0.36,0.36,covered,1.0000000000005398
quadratic_chain,coupling,8,QuadraticCoupling,0.630784841995076,0.12116615604539557,0.420000000000111,0.42000000000113796,0.4200000000006245,0.42,0.42,0.42,covered,1.0000000000027094
quadratic_chain,coupling,9,QuadraticCoupling,0.12116615604539557,0.025405546689315203,0.3000000000000694,0.2999999999999653,0.30000000000001736,0.3,0.3,0.3,covered,1.0000000000002314
quadratic_chain,coupling,10,QuadraticCoupling,0.025405546689315203,0.3005251295587762,0.36000000000065224,0.36000000000027754,0.3600000000004649,0.36,0.36,0.36,covered,1.0000000000018119
quadratic_chain,module,0,QuadraticWell,0.07064235988450622,,0.25000000000034694,,,0.25,,,covered,1.0000000000013878
quadratic_chain,module,1,QuadraticWell,0.7714467883261786,,0.34258774617989884,,,0.34258774618003096,,,covered,0.9999999999996143
quadratic_chain,module,2,QuadraticWell,0.5970030803466959,,0.46946545533074696,,,0.46946545533085315,,,covered,0.9999999999997738
quadratic_chain,module,3,QuadraticWell,0.37722531374195156,,0.6433324490046582,,,0.6433324490047159,,,covered,0.9999999999999104
quadratic_chain,module,4,QuadraticWell,0.04318517324283856,,0.8815912549972681,,,0.8815912549960212,,,covered,1.0000000000014144
quadratic_chain,module,5,QuadraticWell,0.731320775524112,,1.2080894444043724,,,1.2080894444044474,,,covered,0.9999999999999378
quadratic_chain,module,6,QuadraticWell,0.8436065399687896,,1.6555065597696124,,,1.6555065597696212,,,covered,0.9999999999999947
quadratic_chain,module,7,QuadraticWell,0.30221173243752925,,2.2686250443970173,,,2.268625044390925,,,covered,1.0000000000026856
