mode,seed,steps,dimension,noise_magnitude,escaped,escape_accepted_step,maximum_escape_coordinate,final_escape_coordinate,energy_initial,energy_final,energy_drop,accepted_steps,rejected_steps
isotropic,36,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,37,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,38,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,39,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,0,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,1,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,2,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,3,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,4,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,5,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,6,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,7,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,8,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,9,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,10,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,11,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,12,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,13,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,14,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,15,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,16,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,17,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,18,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,19,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,20,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,21,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,22,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,23,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,24,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,25,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,26,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,27,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,28,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,29,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,30,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,31,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,32,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,33,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,34,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,35,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,36,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,37,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,38,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
orthogonal,39,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,0,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,1,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,2,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,3,40,8,0.55,1,1,0.7496655928061713,0.7496655928061713,0.1,0.0900548418007597,0.0099451581992403,1,39
precision_orthogonal,4,40,8,0.55,1,1,0.6923403583733284,0.6923403583733284,0.1,0.0976094804361037,0.0023905195638963123,1,39
precision_orthogonal,5,40,8,0.55,1,1,0.6972540122295399,0.6972540122295399,0.1,0.09282849349153796,0.007171506508462044,1,39
precision_orthogonal,6,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,7,40,8,0.55,1,1,0.7498649358918061,0.7498649358918061,0.1,0.05146887811527803,0.04853112188472197,1,39
precision_orthogonal,8,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,9,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,10,40,8,0.55,1,1,0.712468392994378,0.712468392994378,0.1,0.06862098389358834,0.03137901610641167,1,39
precision_orthogonal,11,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,12,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,13,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,14,40,8,0.55,1,1,0.7124630357773809,0.7124630357773809,0.1,0.08831767902023852,0.01168232097976149,1,39
precision_orthogonal,15,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,16,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,17,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,18,40,8,0.55,1,1,0.6923182766518703,0.6923182766518703,0.1,0.09921155962535526,0.0007884403746447471,1,39
precision_orthogonal,19,40,8,0.55,1,1,0.7227284018435811,0.7227284018435811,0.1,0.09407615460077769,0.005923845399222319,1,39
precision_orthogonal,20,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,21,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,22,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,23,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,24,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,25,40,8,0.55,1,1,0.7281941983567743,0.7281941983567743,0.1,0.06870658543857985,0.03129341456142015,1,39
precision_orthogonal,26,40,8,0.55,1,1,0.7333519239892377,0.7333519239892377,0.1,0.0883343360428091,0.011665663957190903,1,39
precision_orthogonal,27,40,8,0.55,1,1,0.7497908882369855,0.7497908882369855,0.1,0.05081087527951318,0.049189124720486824,1,39
precision_orthogonal,28,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,29,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,30,40,8,0.55,1,1,0.6873807602685611,0.6873807602685611,0.1,0.09567493911872997,0.004325060881270035,1,39
precision_orthogonal,31,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,32,40,8,0.55,1,1,0.7388788296676903,0.7388788296676903,0.1,0.06484392432775883,0.035156075672241174,1,39
precision_orthogonal,33,40,8,0.55,1,1,0.7281430873325065,0.7281430873325065,0.1,0.07481099164231696,0.02518900835768305,1,39
precision_orthogonal,34,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,35,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,36,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,37,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
precision_orthogonal,38,40,8,0.55,1,1,0.7387392633790133,0.7387392633790133,0.1,0.09134573235950946,0.008654267640490543,1,39
precision_orthogonal,39,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
