scenario,baseline_mode,comparison_mode,trials,noise_cost_samples,draws_per_trial,bootstrap_samples,bootstrap_seed,bootstrap_method,baseline_cost_mean,comparison_cost_mean,absolute_reduction_mean,absolute_ci_low,absolute_ci_high,relative_reduction_mean,relative_ci_low,relative_ci_high,seed_absolute_ci_low,seed_absolute_ci_high,seed_relative_ci_low,seed_relative_ci_high
quadratic_chain,isotropic,precision_orthogonal,3,4,4,200,20260714,paired_hierarchical_seed_draw,0.001163274535483381,0.0005293454834947566,0.0006339290519886243,0.00041298578823783583,0.0008517149894463655,0.543562503445301,0.41049596868347077,0.6248802504023528,0.0005157053787178029,0.0007044493938664166,0.5243161830733889,0.5674997152313312
quadratic_chain,orthogonal,precision_orthogonal,3,4,4,200,20260715,paired_hierarchical_seed_draw,0.0009811077358962668,0.0005293454834947566,0.0004517622524015102,0.0002942678832252435,0.0006524445706912331,0.45051985133499733,0.34433072489982813,0.5496412084390605,0.00034603192467022354,0.0005573539950421495,0.3973500982441238,0.4952885388689745
mixed_gate_chain,isotropic,precision_orthogonal,3,4,4,200,20260724,paired_hierarchical_seed_draw,0.001163274535483381,0.0005288237398432379,0.000634450795640143,0.00037953951584432247,0.0009110786259526235,0.5441115693900197,0.43664879181882205,0.6381278543090082,0.000571927538867071,0.0007050475138290342,0.5301570975959932,0.5679815566686512
mixed_gate_chain,orthogonal,precision_orthogonal,3,4,4,200,20260725,paired_hierarchical_seed_draw,0.0009814111728757178,0.0005288237398432379,0.0004525874330324799,0.00028620792403088893,0.0006376132186128035,0.4513600485993208,0.34175073229081915,0.5355908218381388,0.0003464434749313771,0.0006553242251647143,0.40810790898203514,0.5287335298515392
quadratic_star,isotropic,precision_orthogonal,3,4,4,200,20260734,paired_hierarchical_seed_draw,0.0012221486267697446,0.00034102176527847676,0.0008811268614912676,0.0005330346382847452,0.001216888641009934,0.7107466629036051,0.5651681872964458,0.7919401095797203,0.0006957761358549256,0.00106610995894502,0.6643069379097891,0.7567647227763038
quadratic_star,orthogonal,precision_orthogonal,3,4,4,200,20260735,paired_hierarchical_seed_draw,0.0011570766227962795,0.00034102176527847676,0.0008160548575178028,0.0004819055406327387,0.0011581731075191346,0.694606724127491,0.5589971341444967,0.7651701057150736,0.0005566656528672615,0.0010806813850915969,0.6164751586452892,0.7599352472847613
quadratic_dense,isotropic,precision_orthogonal,3,4,4,200,20260744,paired_hierarchical_seed_draw,0.0014068762414934128,0.000694619825404815,0.0007122564160885981,0.0003806505709233342,0.0009901497244709503,0.5073867477263946,0.33795177230844425,0.596784760592166,0.0006077978642796166,0.0007650012116360794,0.47196440933975864,0.5693988743472413
quadratic_dense,orthogonal,precision_orthogonal,3,4,4,200,20260745,paired_hierarchical_seed_draw,0.001267769787379478,0.000694619825404815,0.0005731499619746632,0.00020777594764163297,0.0009866718794136866,0.42767210376757153,0.24207323465462247,0.5890412209363396,0.0002194982567958418,0.0008062076093520941,0.24402120768582491,0.5825405884556569
ill_conditioned_ring,isotropic,precision_orthogonal,3,4,4,200,20260754,paired_hierarchical_seed_draw,0.0015925214560658166,0.00022271691260057624,0.0013698045434652403,0.0008342642278256168,0.0018523067755074325,0.858992082538126,0.774848795294614,0.8945732912992996,0.001246655295822456,0.0016099782740176774,0.8442107378917276,0.8760153666565421
ill_conditioned_ring,orthogonal,precision_orthogonal,3,4,4,200,20260755,paired_hierarchical_seed_draw,0.001428488687573174,0.00022271691260057624,0.0012057717749725978,0.000839402674179362,0.0016526301411951484,0.84002362474451,0.7882144570122883,0.8748518260231952,0.0008708317271212341,0.0015394434120539482,0.8203367609783871,0.8710670267093619
nonlinear_quartic,isotropic,precision_orthogonal,3,4,4,200,20260764,paired_hierarchical_seed_draw,0.0008600399062756193,0.0004675583400259021,0.00039248156624971706,0.0002430281995411885,0.0005770298766579422,0.4533910182858964,0.3231881392149589,0.6074336782321099,0.00032001712203111874,0.0005227093375517445,0.383894978497181,0.5835613755906046
nonlinear_quartic,orthogonal,precision_orthogonal,3,4,4,200,20260765,paired_hierarchical_seed_draw,0.0007961019263460978,0.0004675583400259021,0.0003285435863201955,0.00021405219723488712,0.000436327299718912,0.41526082990904073,0.2964767051661931,0.5146995063751287,0.0002870983292728994,0.00035793351950812934,0.3605952248246549,0.48968452913783467
active_hinges,isotropic,precision_orthogonal,3,4,4,200,20260774,paired_hierarchical_seed_draw,0.0011976239458321577,0.0007095668129265541,0.00048805713290560353,0.00027582197019787515,0.0007000910876549957,0.4023953968810841,0.2683724264776785,0.48755707321814273,0.0003363666531367056,0.0005971343650630811,0.3214570827643296,0.4432316115122787
active_hinges,orthogonal,precision_orthogonal,3,4,4,200,20260775,paired_hierarchical_seed_draw,0.0011535874838639233,0.0007095668129265541,0.00044402067093736946,0.00027557553595297955,0.0006104437448090428,0.37766394052803615,0.2802238741051334,0.4550970525856177,0.0003072252610435565,0.000612513455882953,0.30201851504453514,0.44951558509939044
