mode,seed,steps,dimension,noise_magnitude,escaped,escape_accepted_step,maximum_escape_coordinate,final_escape_coordinate,energy_initial,energy_final,energy_drop,accepted_steps,rejected_steps
none,34,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,35,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,36,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,37,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,38,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,39,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,40,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,41,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,42,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,43,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,44,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,45,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,46,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,47,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,48,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,49,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,50,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,51,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,52,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,53,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,54,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,55,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,56,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,57,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,58,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,59,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,60,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,61,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,62,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,63,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,64,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,65,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,66,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,67,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,68,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,69,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,70,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,71,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,72,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,73,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,74,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,75,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,76,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,77,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,78,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,79,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,80,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,81,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,82,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,83,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,84,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,85,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,86,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,87,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,88,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,89,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,90,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,91,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,92,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,93,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,94,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,95,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,96,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,97,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,98,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,99,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,100,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,101,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,102,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,103,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,104,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,105,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,106,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,107,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,108,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,109,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,110,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,111,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,112,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,113,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,114,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,115,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,116,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,117,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,118,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,119,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,120,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,121,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,122,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,123,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,124,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,125,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,126,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,127,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,128,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,129,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,130,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,131,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,132,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,133,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,134,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,135,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,136,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,137,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,138,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,139,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,140,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,141,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,142,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,143,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,144,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,145,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,146,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,147,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,148,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,149,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,150,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,151,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,152,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,153,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,154,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,155,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,156,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,157,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,158,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,159,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,160,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,161,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,162,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,163,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,164,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,165,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,166,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,167,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,168,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,169,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,170,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,171,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,172,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,173,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,174,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,175,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,176,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,177,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,178,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,179,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,180,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,181,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,182,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,183,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,184,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,185,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,186,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,187,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,188,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,189,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,190,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,191,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,192,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,193,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,194,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,195,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,196,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,197,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,198,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,199,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
isotropic,0,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,1,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,2,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,3,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,4,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,5,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,6,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,7,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,8,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,9,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,10,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,11,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,12,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,13,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,14,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,15,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,16,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,17,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,18,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,19,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,20,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,21,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,22,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,23,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,24,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,25,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,26,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,27,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,28,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,29,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,30,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,31,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,32,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,33,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,34,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,35,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,36,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,37,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,38,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,39,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,40,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,41,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,42,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,43,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,44,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,45,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,46,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,47,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,48,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,49,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,50,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,51,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,52,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,53,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,54,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,55,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,56,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,57,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,58,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,59,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,60,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,61,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,62,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,63,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,64,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,65,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,66,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,67,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,68,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,69,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,70,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,71,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,72,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,73,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,74,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,75,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,76,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,77,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,78,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,79,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,80,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,81,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,82,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,83,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,84,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,85,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,86,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,87,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,88,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,89,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,90,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,91,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,92,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,93,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,94,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,95,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,96,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,97,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,98,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,99,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,100,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,101,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,102,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,103,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,104,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,105,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,106,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,107,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,108,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,109,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,110,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,111,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,112,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,113,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,114,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,115,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,116,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,117,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,118,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,119,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,120,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,121,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,122,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,123,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,124,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,125,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,126,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,127,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,128,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,129,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,130,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,131,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,132,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,133,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,134,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,135,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,136,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,137,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,138,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,139,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,140,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,141,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
isotropic,142,40,8,0.55,0,,0.2,0.2,0.1,0.1,0.0,0,40
