scenario,mode,seed,steps,topology,energy_family,size,coupling_count,initial_curvature_min,initial_curvature_max,initial_curvature_ratio,noise_magnitude,noise_cost_samples,accepted_steps,rejected_steps,acceptance_rate,delta_f90_steps,energy_initial,energy_final,energy_drop,noise_curvature_cost,noise_curvature_cost_draws,wall_time_sec
quadratic_dense,precision_orthogonal,1,25,dense_random,quadratic,6,12,0.25,8.0,32.0,0.02,4,24,1,0.96,7,0.6348022258430102,0.06556202482807222,0.569240201014938,0.0008261095400709848,0.00050549711058202546;0.0014599931713472846;0.00085298958404858485;0.00048595829430604431,0.018360199872404337
quadratic_dense,precision_orthogonal,2,25,dense_random,quadratic,6,10,0.25,8.0,32.0,0.02,4,24,1,0.96,7,0.3897956370212423,0.04492972772379073,0.3448659092974516,0.0006800065808264843,0.00036626781858848192;0.00062210299449206967;0.00049207025153794038;0.0012395852586874455,0.017765199998393655
ill_conditioned_ring,isotropic,0,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,14,2.5095567424878804,0.14806839927175985,2.3614883432161204,0.0018378425028803167,0.001426745683353166;0.0014246716178502792;0.0019273338841796525;0.0025726188261381696,0.03619819995947182
ill_conditioned_ring,isotropic,1,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,13,4.78115412717888,0.15227555157022427,4.628878575608655,0.0014905323025702743,0.0010515063247734581;0.0012239241086276901;0.00080200243539957209;0.0028846963414803769,0.026557200122624636
ill_conditioned_ring,isotropic,2,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,14,5.676558191424282,0.16323046063323504,5.513327730791047,0.0014491895627468583,0.0011712590441580824;0.0027857247888511782;0.0012383574018748353;0.00060141701610333777,0.03209650004282594
ill_conditioned_ring,orthogonal,0,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,13,2.5095567424878804,0.14528117123012915,2.3642755712577515,0.0017673076409165872,0.0011698713744568753;0.0014131287829386395;0.0019009474556704611;0.0025852829506003731,0.02951390016824007
ill_conditioned_ring,orthogonal,1,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,14,4.78115412717888,0.158959848078921,4.622194279099959,0.0014566044740283366,0.0011058848375599883;0.001341810240175566;0.00082733819264489944;0.0025513846257328924,0.03091820003464818
ill_conditioned_ring,orthogonal,2,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,14,5.676558191424282,0.14377558107514096,5.532782610349141,0.0010615539477745984,0.0010073349415748343;0.0013624064358434087;0.0012747375889627097;0.00060173682471744067,0.03205149993300438
ill_conditioned_ring,precision_orthogonal,0,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,13,2.5095567424878804,0.14321156175992378,2.3663451807279565,0.00022786422886263906,0.00027821090905283201;0.00020067711584205171;0.0001909954414556936;0.00024157344909997891,0.03149099997244775
ill_conditioned_ring,precision_orthogonal,1,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,14,4.78115412717888,0.15592386401942074,4.625230263159459,0.0002495642882857252,0.00027520091212152856;0.00028673693023880504;0.00021725287907669341;0.00021906643170587371,0.035139299929142
ill_conditioned_ring,precision_orthogonal,2,25,ring,ill_conditioned_quadratic,24,24,0.05,20.0,400.0,0.02,4,25,0,1.0,14,5.676558191424282,0.14082064552265677,5.535737545901625,0.00019072222065336447,0.00019068134981735634;0.00017410095060624005;0.00019282595582908492;0.00020528062636077655,0.03283379995264113
nonlinear_quartic,isotropic,0,25,chain,convex_quartic,12,11,0.3326165899171342,4.1189862853138575,12.38358641804377,0.02,4,17,8,0.68,4,0.9173714626918745,0.05666083701539872,0.8607106256764758,0.0008689500229503252,0.0012093639871489357;0.000689058254625291;0.00094344707787234164;0.0006339307721547324,0.019326700130477548
nonlinear_quartic,isotropic,1,25,chain,convex_quartic,12,11,0.20016525133955657,4.484105981258549,22.402020087151868,0.02,4,18,7,0.72,5,1.260421531071462,0.0863160359649562,1.1741054951065057,0.0008957229854747094,0.00096630425481398596;0.00077625355680414031;0.001211243099240665;0.0006290910310400461,0.026724800001829863
nonlinear_quartic,isotropic,2,25,chain,convex_quartic,12,11,0.32889517257772327,4.887060274718021,14.859020995703817,0.02,4,16,9,0.64,5,1.5025239358304754,0.05678433945096333,1.445739596379512,0.0008154467104018232,0.00044878629645342941;0.00088556189862250886;0.00095754964206589441;0.00096988900446546027,0.01672849990427494
